formato,prefijo,concepto,columna,base,notas,tercero
# ---------------------------------------------------------------------------------------------
# Parametrización por defecto (PUC Decreto 2650) según Res. 227/2025 y sus modificaciones.
# Por formato gana el PREFIJO MÁS LARGO. concepto=EXCLUIR saca una rama completa.
# base: neto_deb | neto_cred | debito | credito | saldo_deb | saldo_cred  (por tercero)
#       saldo_deb_cuenta | saldo_cred_cuenta  (saldo de toda la cuenta a un solo tercero)
# tercero: vacío = el del movimiento | informante = NIT de la empresa | un NIT fijo (p. ej. DIAN)
# Exportar el balance SIN comprobante de cierre. El Asistente por formato obliga a revisar
# cada cuenta del balance de cada empresa: esto es solo el punto de partida.
# ---------------------------------------------------------------------------------------------
# ============================ 1001 PAGOS O ABONOS EN CUENTA ============================
# Rentas de trabajo (nómina) van SOLO al 2276 (art. 1.3.5.2.1 par. 12)
1001,5105,EXCLUIR,,,Gastos de personal: pagos a trabajadores van al 2276 (par. 12),
1001,510551,5016,pago_deducible,neto_deb,Dotación y suministro a trabajadores (pago a proveedores),
1001,510563,5004,pago_deducible,neto_deb,Capacitación al personal (pago a proveedores),
1001,510568,5011,pago_deducible,neto_deb,ARL: aporte del empleador deducible (par. 10),
1001,510569,5011,pago_deducible,neto_deb,EPS: aporte del empleador deducible (par. 10),
1001,510570,5012,pago_deducible,neto_deb,Pensiones: aporte del empleador deducible (par. 10),
1001,510572,5010,pago_deducible,neto_deb,Cajas de compensación,
1001,510575,5010,pago_deducible,neto_deb,ICBF,
1001,510578,5010,pago_deducible,neto_deb,SENA,
1001,5110,5002,pago_deducible,neto_deb,Honorarios (sin rentas de trabajo del 2276),
1001,5115,5015,pago_deducible,neto_deb,Impuestos solicitados como deducción,
1001,5120,5005,pago_deducible,neto_deb,Arrendamientos,
1001,5125,5058,pago_deducible,neto_deb,"Contribuciones, afiliaciones y tasas",
1001,5130,5016,pago_deducible,neto_deb,Seguros,
1001,5135,5004,pago_deducible,neto_deb,Servicios,
1001,5140,5016,pago_deducible,neto_deb,Gastos legales,
1001,5145,5004,pago_deducible,neto_deb,Mantenimiento y reparaciones,
1001,5150,5004,pago_deducible,neto_deb,Adecuación e instalación,
1001,5155,5016,pago_deducible,neto_deb,Gastos de viaje,
1001,5160,EXCLUIR,,,Depreciaciones (no es pago; van al 1011),
1001,5165,5019,pago_deducible,neto_deb,Amortizaciones de gastos pagados por anticipado (NIT del tercero),
1001,5195,5016,pago_deducible,neto_deb,Diversos,
1001,5199,EXCLUIR,,,Provisiones / deterioro,
1001,5205,EXCLUIR,,,Gastos de personal de ventas: van al 2276,
1001,520551,5016,pago_deducible,neto_deb,Dotación a trabajadores,
1001,520563,5004,pago_deducible,neto_deb,Capacitación,
1001,520568,5011,pago_deducible,neto_deb,ARL empleador,
1001,520569,5011,pago_deducible,neto_deb,EPS empleador,
1001,520570,5012,pago_deducible,neto_deb,Pensiones empleador,
1001,520572,5010,pago_deducible,neto_deb,Cajas,
1001,520575,5010,pago_deducible,neto_deb,ICBF,
1001,520578,5010,pago_deducible,neto_deb,SENA,
1001,5210,5002,pago_deducible,neto_deb,Honorarios,
1001,5215,5015,pago_deducible,neto_deb,Impuestos,
1001,5220,5005,pago_deducible,neto_deb,Arrendamientos,
1001,5225,5058,pago_deducible,neto_deb,Contribuciones y afiliaciones,
1001,5230,5016,pago_deducible,neto_deb,Seguros,
1001,5235,5004,pago_deducible,neto_deb,Servicios,
1001,5240,5016,pago_deducible,neto_deb,Gastos legales,
1001,5245,5004,pago_deducible,neto_deb,Mantenimiento,
1001,5250,5004,pago_deducible,neto_deb,Adecuación,
