codigo,nombre,alias
013,AFGANISTAN,
017,ALBANIA,
023,ALEMANIA,
037,ANDORRA,
040,ANGOLA,
041,ANGUILLA,
043,ANTIGUA Y BARBUDA,
047,ANTILLAS HOLANDESAS,
053,ARABIA SAUDITA,
059,ARGELIA,
063,ARGENTINA,ARGENTINA|AR
026,ARMENIA,
027,ARUBA,
069,AUSTRALIA,
072,AUSTRIA,
074,AZERBAIJAN,
077,BAHAMAS,
080,BAHREIN,
081,BANGLADESH,
083,BARBADOS,
087,BELGICA,
088,BELICE,
091,BELORUS,
229,BENIN,
090,BERMUDAS,
093,BIRMANIA MYANMAR,
097,BOLIVIA,
029,BOSNIA-HERZEGOVINA,
101,BOTSWANA,
105,BRASIL,
108,BRUNEI DARUSSALAM,
111,BULGARIA,
031,BURKINA FASSO,
115,BURUNDI,
119,BUTAN,
127,CABO VERDE,
137,CAIMAN ISLAS,
145,CAMERUN REPUBLICA U,
149,CANADA,
155,CANAL NORMANDAS ISL,
157,CANTON ENDERBURY ISL,
203,CHAD,
211,CHILE,
215,CHINA,
221,CHIPRE,
159,CIUDAD DEL VATICANO,
165,COCOS KEELING ISL,
169,COLOMBIA,CO|COL
173,COMORAS,
998,COMUNIDAD EUROPEA,
177,CONGO,
183,COOK ISLAS,
187,COREA DEL NORTE REPU,
190,COREA DEL SUR REPUB,
193,COSTA DE MARFIL,
196,COSTA RICA,
198,CROACIA,
199,CUBA,
789,CURACAO,
232,DINAMARCA,
783,DJIBOUTI,
235,DOMINICA,
239,ECUADOR,
240,EGIPTO,
242,EL SALVADOR,
244,EMIRATOS ARABES UNID,
243,ERITREA,
246,ESLOVAQUIA,
247,ESLOVENIA,
245,ESPAÑA,ESPANA|SPAIN|ES
249,ESTADOS UNIDOS,US|USA|EEUU|EE.UU.|ESTADOS UNIDOS DE AMERICA
251,ESTONIA,
253,ETIOPIA,
259,FEROE ISLAS,
870,FIJI,
267,FILIPINAS,
271,FINLANDIA,
275,FRANCIA,
281,GABON,
285,GAMBIA,
286,GAZA Y JERICO,
287,GEORGIA,
289,GHANA,
293,GIBRALTAR,
297,GRANADA,
301,GRECIA,
305,GROENLANDIA,
309,GUADALUPE,
313,GUAM,
317,GUATEMALA,
325,GUAYANA FRANCESA,
329,GUINEA,
334,GUINEA - BISSAU,
331,GUINEA ECUATORIAL,
337,GUYANA,
341,HAITI,
345,HONDURAS,
351,HONG KONG,
355,HUNGRIA,
361,INDIA,
365,INDONESIA,
369,IRAK,
372,IRAN REPUBLICA ISLA,
375,IRLANDA EIRE,
033,ISLA DE MAN,
379,ISLANDIA,
566,ISLAS MENORES DE ESTADOS UNIDOS,
383,ISRAEL,
386,ITALIA,
391,JAMAICA,
399,JAPON,
395,JOHNSTON ISLA,
403,JORDANIA,
141,KAMPUCHEA CAMBOYA,
406,KAZAJSTAN,
410,KENYA,
412,KIRGUIZISTAN,
411,KIRIBATI,
413,KUWAIT,
420,LAOS REPUBLICA POPUL,
426,LESOTHO,
429,LETONIA,
431,LIBANO,
434,LIBERIA,
438,LIBIA INCLUYE FEZZAN,
440,LIECHTENSTEIN,
443,LITUANIA,
445,LUXEMBURGO,
447,MACAO,
448,MACEDONIA,
450,MADAGASCAR,
455,MALASIA,
458,MALAWI,
461,MALDIVAS,
464,MALI,
467,MALTA,
469,MARIANAS DEL NORTE I,
474,MARRUECOS,
472,MARSHALL ISLAS,
477,MARTINICA,
485,MAURICIO,
488,MAURITANIA,
493,MEXICO,MEXICO|MX
494,MICRONESIA ESTADOS F,
495,MIDWAY ISLAS,
496,MOLDAVIA,
498,MONACO,
497,MONGOLIA,
501,MONSERRAT ISLA,
502,MONTENEGRO,
505,MOZAMBIQUE,
507,NAMIBIA,
508,NAURU,
511,NAVIDAD CHRISTMAS,
517,NEPAL,
521,NICARAGUA,
525,NIGER,
528,NIGERIA,
531,NIUE ISLA,
001,NIVE ISLA,
999,NO DECLARADOS,
535,NORFOLK ISLA,
538,NORUEGA,
542,NUEVA CALEDONIA,
548,NUEVA ZELANDIA,
556,OMAN,
573,PAISES BAJOS HOLANDA,
576,PAKISTAN,
578,PALAU ISLAS,
579,PALESTINA,
580,PANAMA,
545,PAPUASIA NUEV GUINEA,
586,PARAGUAY,
589,PERU,
593,PITCAIRN ISLA,
599,POLINESIA FRANCESA,
603,POLONIA,
607,PORTUGAL,
611,PUERTO RICO,
618,QATAR,
628,REINO UNIDO,
888,REPUBLICA DEMOCRATICA DEL CONGO,
640,REPUBLICA CENTROAFRI,
644,REPUBLICA CHECA,
647,REPUBLICA DOMINICANA,
660,REUNION,
670,RUMANIA,
676,RUSIA,
675,RWANDA,
685,SAHARA OCCIDENTAL,
677,SALOMON ISLAS,
687,SAMOA,
690,SAMOA NORTEAMERICANA,
695,SAN CRISTOBAL Y NIEVES,
697,SAN MARINO,
663,SAN MARTIN FRANCIA,
534,SAN MARTIN PAISES BAJOS,
700,SAN PEDRO Y MIGUELON,
705,SAN VICENTE Y LAS GR,
710,SANTA ELENA,
715,SANTA LUCIA,
720,SANTO TOME Y PRINCIP,
728,SENEGAL,
032,SERBIA,
731,SEYCHELLES,
735,SIERRA LEONA,
741,SINGAPUR,
744,SIRIA REPUBLICA ARAB,
748,SOMALIA,
750,SRI LANKA,
756,SUDAFRICA REPUBLICA,
759,SUDAN,
764,SUECIA,
767,SUIZA,
770,SURINAM,
773,SWAZILANDIA,
774,TADJIKISTAN,
776,TAILANDIA,
218,TAIWAN FORMOSA,
780,TANZANIA REPUBLICA U,
786,TERRI ANTARTICO BRIT,
787,TERRITORI BRITANICO,
788,TIMOR DEL ESTE,
800,TOGO,
805,TOKELAU,
810,TONGA,
815,TRINIDAD Y TOBAGO,
820,TUNICIA,
823,TURCAS Y CAICOS ISLA,
825,TURKMENISTAN,
827,TURQUIA,
828,TUVALU,
830,UCRANIA,
833,UGANDA,
845,URUGUAY,
847,UZBEKISTAN,
551,VANUATU,
850,VENEZUELA,
855,VIETNAM,
863,VIRGENES ISLAS BRITA,
866,VIRGENES ISLAS NORTE,
875,WALLIS Y FORTUNA ISL,
880,YEMEN,
885,YUGOSLAVIA,
890,ZAMBIA,
665,ZIMBABWE,
895,ZONA CANAL DE PANAMA,
897,ZONA NEUTRAL PALESTA,
